,_id,keywordId,adGroupId,campaignId,profileId,targeting,clicks,impressions,cost,purchases1d,purchases7d,purchases30d,sales30d,date,__v,conversions,sales,campaignName,adGroupName,matchType,Unnamed: 0,CR,x_prior,x_post ,Date
44,6375cc3c60288c7c1181fc7c,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,1,0.0,0,0,0,0.0,2022-10-17,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
45,6375cc3c60288c7c1181fc7e,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,1,0.0,0,0,0,0.0,2022-10-14,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
46,6375cc3c60288c7c1181fc80,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,1,0.0,0,0,0,0.0,2022-10-09,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
47,6375cc3c60288c7c1181fc7d,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,1,15,1.35,0,0,0,0.0,2022-10-10,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
48,6375cc3c60288c7c1181fc84,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,1,0.0,0,0,0,0.0,2022-10-15,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
49,6375cc3c60288c7c1181fc83,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,1,0.0,0,0,0,0.0,2022-10-13,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
50,6375cc3c60288c7c1181fc7b,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,1,0.0,0,0,0,0.0,2022-10-16,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
51,6375cc3c60288c7c1181fd0b,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,9,0.0,0,0,0,0.0,2022-11-04,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
52,6375cc3c60288c7c1181fd15,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,26,0.0,0,0,0,0.0,2022-10-29,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
53,6375cc3c60288c7c1181fd07,130078908229139,49449683614806,16297002239515,3932195223562143,finger support arthritis,0,2,0.0,0,0,0,0.0,2022-10-19,0,0,0.0,Gloves - SP - manual,exact,exact,,,,,
