,_id,keywordId,adGroupId,campaignId,profileId,targeting,clicks,impressions,cost,purchases1d,purchases7d,purchases30d,sales30d,date,__v,conversions,sales,campaignName,adGroupName,matchType,CR,x_prior,x_post ,Date,Leave,campaignType,conv_value,avg_cpc,bid,slope
26,63882d10ea239eac10b481e7,135462690114656,24730201331739,177256716723814,3932195223562143,night wrist support,0,0,0.0,0,0,0,0.0,2022-10-11,0,0,0.0,Brace - SP - Competitor manual,brace,broad,0.042222522295176486,0.042222522295176486,0.04103918565001269,2022-12-14,36.0,sponsoredProducts,15.710588235294116,0,0.32,1.0
27,63882d10ea239eac10b481eb,135462690114656,24730201331739,177256716723814,3932195223562143,night wrist support,0,0,0.0,0,0,0,0.0,2022-10-10,0,0,0.0,Brace - SP - Competitor manual,brace,broad,0.042222522295176486,0.042222522295176486,0.04103918565001269,2022-12-14,36.0,sponsoredProducts,15.710588235294116,0,0.32,1.0
28,63882d10ea239eac10b48493,235964039207848,24730201331739,177256716723814,3932195223562143,copper compression wrist support,0,0,0.0,0,0,0,0.0,2022-11-28,0,0,0.0,Brace - SP - Competitor manual,brace,exact,0.042222522295176486,0.042222522295176486,0.04103918565001269,2022-12-14,36.0,sponsoredProducts,15.710588235294116,0,0.41,1.0
29,63882d10ea239eac10b48492,235964039207848,24730201331739,177256716723814,3932195223562143,copper compression wrist support,0,0,0.0,0,0,0,0.0,2022-11-29,0,0,0.0,Brace - SP - Competitor manual,brace,exact,0.042222522295176486,0.042222522295176486,0.04103918565001269,2022-12-14,36.0,sponsoredProducts,15.710588235294116,0,0.41,1.0
30,63882d10ea239eac10b4804a,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,4,0.0,0,0,0,0.0,2022-09-02,0,0,0.0,Gloves - SP - manual,exact,exact,0.1466438208596609,0.1466438208596609,0.14579983392090645,2022-12-14,47.0,sponsoredProducts,15.710588235294116,0,0.28,0.3333333333333333
31,63882d10ea239eac10b4804b,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,1,12,0.71,0,0,0,0.0,2022-09-03,0,0,0.0,Gloves - SP - manual,exact,exact,0.1466438208596609,0.1466438208596609,0.14579983392090645,2022-12-14,47.0,sponsoredProducts,15.710588235294116,0,0.28,0.3333333333333333
32,63882d10ea239eac10b4804c,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,1,13,0.71,0,0,0,0.0,2022-09-05,0,0,0.0,Gloves - SP - manual,exact,exact,0.1466438208596609,0.1466438208596609,0.14579983392090645,2022-12-14,47.0,sponsoredProducts,15.710588235294116,0,0.28,0.3333333333333333
33,63882d10ea239eac10b4804d,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,2,0.0,0,0,0,0.0,2022-09-07,0,0,0.0,Gloves - SP - manual,exact,exact,0.1466438208596609,0.1466438208596609,0.14579983392090645,2022-12-14,47.0,sponsoredProducts,15.710588235294116,0,0.28,0.3333333333333333
34,63882d10ea239eac10b4804e,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,1,0.0,0,0,0,0.0,2022-09-08,0,0,0.0,Gloves - SP - manual,exact,exact,0.1466438208596609,0.1466438208596609,0.14579983392090645,2022-12-14,47.0,sponsoredProducts,15.710588235294116,0,0.28,0.3333333333333333
35,63882d10ea239eac10b48050,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,3,0.0,0,0,0,0.0,2022-09-10,0,0,0.0,Gloves - SP - manual,exact,exact,0.1466438208596609,0.1466438208596609,0.14579983392090645,2022-12-14,47.0,sponsoredProducts,15.710588235294116,0,0.28,0.3333333333333333
36,63882d10ea239eac10b4804f,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,1,0.0,0,0,0,0.0,2022-09-09,0,0,0.0,Gloves - SP - manual,exact,exact,0.1466438208596609,0.1466438208596609,0.14579983392090645,2022-12-14,47.0,sponsoredProducts,15.710588235294116,0,0.28,0.3333333333333333
37,63882d10ea239eac10b48052,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,8,0.0,0,0,0,0.0,2022-09-06,0,0,0.0,Gloves - SP - manual,exact,exact,0.1466438208596609,0.1466438208596609,0.14579983392090645,2022-12-14,47.0,sponsoredProducts,15.710588235294116,0,0.28,0.3333333333333333
38,63882d10ea239eac10b48051,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,1,13,0.71,0,0,0,0.0,2022-09-04,0,0,0.0,Gloves - SP - manual,exact,exact,0.1466438208596609,0.1466438208596609,0.14579983392090645,2022-12-14,47.0,sponsoredProducts,15.710588235294116,0,0.28,0.3333333333333333
39,63882d10ea239eac10b48053,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,1,0.0,0,0,0,0.0,2022-09-11,0,0,0.0,Gloves - SP - manual,exact,exact,0.1466438208596609,0.1466438208596609,0.14579983392090645,2022-12-14,47.0,sponsoredProducts,15.710588235294116,0,0.28,0.3333333333333333
40,63882d10ea239eac10b48054,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,3,0.0,0,0,0,0.0,2022-09-12,0,0,0.0,Gloves - SP - manual,exact,exact,0.1466438208596609,0.1466438208596609,0.14579983392090645,2022-12-14,47.0,sponsoredProducts,15.710588235294116,0,0.28,0.3333333333333333
41,63882d10ea239eac10b48055,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,0,0.0,0,0,0,0.0,2022-09-13,0,0,0.0,Gloves - SP - manual,exact,exact,0.1466438208596609,0.1466438208596609,0.14579983392090645,2022-12-14,47.0,sponsoredProducts,15.710588235294116,0,0.28,0.3333333333333333
42,63882d10ea239eac10b48056,165540236013409,49449683614806,16297002239515,3932195223562143,thumb arthritis compression gloves,0,0,0.0,0,0,0,0.0,2022-09-14,0,0,0.0,Gloves - SP - manual,exact,exact,0.1466438208596609,0.1466438208596609,0.14579983392090645,2022-12-14,47.0,sponsoredProducts,15.710588235294116,0,0.28,0.3333333333333333
